20170101,182300,20170102,200000,01,13126
20170115,195600,20170115,200000,01,13126
20170218,164500,20170218,200000,01,13126
20170229,201200,20170228,200000,01,13126
20170307,195200,20170307,200000,01,13126
20170318,213400,20170318,200000,01,13126
20170403,204800,20170402,200000,01,13126
20170413,192200,20170412,200000,01,13126
20170430,173100,20170430,200000,01,13126
20170512,202200,20170511,200000,01,13126
20170528,173100,20170528,200000,01,13126
20170602,184700,20170601,200000,01,13126
20170613,190500,20170613,200000,01,13126
20170711,204600,20170710,200000,01,13126
20170725,215300,20170725,200000,01,13126
20170807,213700,20170806,200000,01,13126
20170821,192100,20170821,200000,01,13126
20170903,181300,20170902,200000,01,13126
20171010,201200,20171009,200000,01,13126
